country_sk,data
4040,"{""gdp"": 94997, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 5447662, ""country_name"": ""Slovakia""}"
4041,"{""gdp"": 392052, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 5305383, ""country_name"": ""Norway""}"
4042,"{""gdp"": null, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 5260750, ""country_name"": ""Congo""}"
4043,"{""gdp"": 6050, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 5068831, ""country_name"": ""Eritrea""}"
4044,"{""gdp"": null, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 4920724, ""country_name"": ""Palestine""}"
4045,"{""gdp"": 58909, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 4905769, ""country_name"": ""Costa Rica""}"
4046,"{""gdp"": 325649, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 4761657, ""country_name"": ""Ireland""}"
4047,"{""gdp"": 2140, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 4731906, ""country_name"": ""Liberia""}"
4048,"{""gdp"": 200837, ""region"": ""Australia�and�New Zealand"", ""continent"": ""Oceania"", ""population"": 4705818, ""country_name"": ""New Zealand""}"
4049,"{""gdp"": 1992, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 4659080, ""country_name"": ""Central African Republic""}"
4050,"{""gdp"": 71931, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 4636262, ""country_name"": ""Oman""}"
4051,"{""gdp"": 4985, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 4420184, ""country_name"": ""Mauritania""}"
4052,"{""gdp"": 53481, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 4189353, ""country_name"": ""Croatia""}"
4053,"{""gdp"": 118271, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 4136528, ""country_name"": ""Kuwait""}"
4054,"{""gdp"": 59051, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 4098587, ""country_name"": ""Panama""}"
4055,"{""gdp"": 7945, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 4051212, ""country_name"": ""Moldova""}"
4056,"{""gdp"": 15230, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 3912061, ""country_name"": ""Georgia""}"
4057,"{""gdp"": 103243, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 3663131, ""country_name"": ""Puerto Rico""}"
4058,"{""gdp"": 17457, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 3507017, ""country_name"": ""Bosnia and Herzegovina""}"
